GWh,UNITEDSTATES,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-05-01,170619.627969,48693.89617800001,2828.474941,113522.260942,4755.374475,819.621433,64348.331957,32116.620176,28087.374712,12987.053696,1388.559033,0,378.463188,79334.982092,230591.04863900002,309926.030731,5360.953081,1420.159741,313866.82407100004,2202.750318,23985.659032,287678.41472100007,2020,5
,2020-06-01,216554.704801,67941.25609000001,3494.373893,139863.682239,4498.220726,757.171853,67215.90672,31553.083884,30041.023676,12621.321268,1311.929029,0,367.859071,80025.57858300001,279640.249866,359665.828449,5866.388759,1340.204782,364192.01242600003,2707.899982,26361.897358,335122.21508600004,2020,6
,2020-07-01,282886.368535,92670.16887800003,3658.641662,181000.076091,4725.483372,831.998532,69396.614877,29327.013169,22590.395166,13706.925622,1416.409747,0,374.30556,71766.227076,347931.8056,419698.03267600003,5958.628491,1485.504795,424171.156372,3399.482375,26131.593852,394640.080145,2020,7
,2020-08-01,273781.588512,94428.51646599997,3324.521301,170193.663066,4999.234533,835.653146,68993.296931,27436.465802,22498.39188,12492.348548,1394.072496,0,371.188136,68820.51325899998,338146.83904600004,406967.352305,5959.955824,1431.24524,411496.062889,3332.581615,24749.903441,383413.577833,2020,8
,2020-09-01,217265.392729,71159.33067000002,2362.866506,138419.760576,4546.995371,776.439606,65737.902718,21651.164894,23093.837943,10345.072418,1359.039114,0,333.27972,60996.10974,278789.57979600003,339785.689536,5149.732064,1088.926511,343846.495089,2440.156007,11260.791068,330145.548014,2020,9
,2020-10-01,198753.859081,62398.498124999984,2299.239193,128875.275399,4412.568468,768.277896,59372.025626,20313.780336,29314.350031,9769.752352,1348.081294,0,393.63015,65158.532481,254106.94638900002,319265.47887,4517.533278,1002.793268,322780.21888,1849.636932,12592.555634,308338.026314,2020,10
,2020-11-01,177451.48405,63922.59231800001,2484.971645,105587.02578,4681.518081,775.376226,61769.923758,23960.735468,33725.12118,7856.498201,1453.425175,0,388.561048,71677.298105,234928.45077499998,306605.74887999997,4750.711231,1120.979063,310235.481048,1629.770315,19184.288127,289421.422606,2020,11
,2020-12-01,213360.440553,81744.74839699999,2754.285508,123028.850827,4978.466742,854.089079,69882.231076,25229.830893,32342.945619,7182.937292,1444.450585,0,424.513606,71178.631131,278688.718493,349867.349624,4907.227537,1041.686191,353732.89097000007,1844.186396,22102.756268,329785.9483060001,2020,12
,2021-01-01,215967.649115,84948.87489100001,2529.89224,122688.542708,4980.152032,820.187244,71844.031983,28287.364355,30319.91102,7651.761104,1372.266212,0,399.97687,72611.454723,283231.50593600003,355842.96065900003,5674.319445,1192.518346,360324.761758,1802.465254,19049.711413,339472.585091,2021,1
,2021-02-01,208770.781355,90880.56073700002,3356.24048,109370.301748,4450.997868,712.680522,62964.299087,24162.613484,26586.876215,8675.444176,1297.079242,0,305.26936,65173.01098500001,267589.35193400003,332762.36291900004,4559.854229,1721.998799,335600.21834900003,1818.197143,19416.726168,314365.29503800004,2021,2
,2021-03-01,176181.411363,64516.785986,2652.276613,103290.380945,4908.530047,813.437772,63718.498535,23277.273767,39420.146044,12460.751541,1236.499779,0,360.947143,81303.20117800002,235352.32699399997,316655.52817199996,5055.052964,2059.905882,319650.67525399994,1503.466407,13846.664919,304300.54392799997,2021,3
,2021-04-01,168254.308762,56273.60343500001,2061.990159,104837.723096,4327.104757,753.887315,57101.21896,21012.280836,35781.68521,14560.47992,1274.85601,0,314.670395,76956.40673300001,221343.09336,298299.500093,4582.951678,1725.005132,301157.446639,1382.252198,15568.238908,284206.955533,2021,4
,2021-05-01,185714.397844,66479.39840399999,2380.362035,111384.876512,4700.79944,768.961453,62063.374012,25539.701195,33081.33278,16615.816099,1356.543585,0,337.560336,81294.19309900001,243414.53275199997,324708.725851,5163.5092,1659.349029,328212.88602200005,1894.85949,21031.886783,305286.139749,2021,5
