date,BATI AKDENİZ YTM,BATI ANADOLU YTM,DOĞU AKDENİZ YTM,DOĞU ANADOLU YTM,GÜNEY DOĞU ANADOLU YTM,KUZEY BATI ANADOLU YTM,ORTA ANADOLU YTM,ORTA KARADENİZ YTM,TRAKYA YTM
2017-03-15,2417.22,5101.59,2911.46,1281.01,5571.56,8721.61,4012.56,1762.43,6507.29
2017-03-16,2454.36,4984.51,2981.24,1319.52,5393.33,8554.8,3927.28,1714.41,6425.47
2017-03-17,2354.01,5051.44,3073.88,1346.14,5535.8,8769.87,3971.44,1806.78,6582.61
2017-03-18,2284.67,4887.18,2925.73,1275.19,5301.95,8015.4,3600.5,1767.18,5678.16
2017-03-19,2187.24,4315.44,2818.85,1369.44,4978.23,6328.78,3124.1,1630.73,4267.76
2017-03-20,2345.63,4827.85,2947.06,1318.57,5189.24,8104.81,3727.46,1735.34,6090.99
2017-03-21,2277.61,4690.51,2888.89,1336.15,5269.91,8196.67,3595.82,1768.38,5953.36
2017-03-22,2310.13,4704.18,2800.87,1340.57,5445.35,8190.53,3474.01,1781.31,5804.24
2017-03-23,2252.19,4543.65,2843.87,1330.89,5181.15,8065.78,3402.58,1764.93,5999.22
2017-03-24,2191.57,4611.62,2750.33,1287.37,4948.62,8087.43,3380.9,1723.64,6087.2
2017-03-25,2158.62,4399.62,2597.3,1320.49,4734.55,7718.15,3186.21,1690.73,5472.31
2017-03-26,1994.46,4003.61,2668.8,1329.14,4667.04,6289.42,3006.54,1636.98,4214.48
2017-03-27,2203.67,4746.6,2823.75,1301.92,4869.56,8423.78,3562.16,1788.05,6311.49
2017-03-28,2203.3,4909.74,2758.91,1308.24,4859.77,8158.1,3577.07,1746.76,6084.86
2017-03-29,2210.61,4670.41,2678.45,1312.42,4877.53,8096.0,3368.77,1672.44,5972.56
2017-03-30,2184.99,4788.73,2861.86,1298.74,4823.94,7985.01,3454.46,1669.36,5860.71
2017-03-31,2222.46,4651.88,2795.84,1266.71,4988.6,8214.61,3692.09,1728.48,6114.24
2017-04-01,2153.94,4446.03,2663.98,1312.49,5077.51,7728.01,3308.46,1687.65,5489.15
2017-04-02,1996.31,4137.72,2669.36,1343.96,4858.31,6281.89,3012.39,1639.27,4196.86
2017-04-03,2175.89,4630.72,2735.16,1309.32,5149.5,7818.46,3382.21,1700.32,5869.98
2017-04-04,2195.18,4657.31,2761.29,1292.17,5002.2,8025.3,3376.67,1644.8,6125.17
2017-04-05,2188.01,4769.93,2758.69,1290.7,4910.2,7916.7,3360.86,1666.63,6056.18
2017-04-06,2223.36,4759.53,2721.14,1268.09,4935.88,8102.79,3491.46,1650.1,6056.52
2017-04-07,2196.25,4586.49,2754.84,1269.35,4876.41,8178.74,3505.23,1766.97,6112.41
2017-04-08,2241.41,4606.28,2615.51,1266.67,5140.44,7634.87,3421.08,1609.75,5468.91
2017-04-09,2040.94,4126.83,2665.78,1325.58,5042.58,6293.88,3154.1,1616.41,4146.29
2017-04-10,2250.07,4822.05,2823.47,1321.26,5242.8,7995.15,3736.12,1703.54,5842.37
2017-04-11,2251.98,4711.65,2756.12,1301.72,5196.36,8017.45,3530.46,1692.95,5854.85
2017-04-12,2274.3,4916.43,2558.4,1311.82,5197.18,7936.23,3946.01,1669.46,5850.99
2017-04-13,2395.66,4846.56,2782.15,1288.04,5206.94,8026.79,3985.5,1668.81,5883.94
2017-04-14,2286.06,4684.09,2830.31,1321.84,4534.25,7825.01,3735.72,1741.05,5782.05
2017-04-15,2168.86,4562.31,2749.55,1275.61,4537.75,7278.54,3255.01,1697.04,5149.17
2017-04-16,1891.91,3882.07,2439.33,1207.38,3945.74,5846.3,2987.22,1565.09,3663.97
2017-04-17,2268.09,4632.76,2564.29,1283.82,4538.8,7736.26,3439.26,1631.08,5593.67
2017-04-18,2291.85,4733.62,2624.61,1264.64,4798.45,7952.31,3568.93,1610.66,6067.24
2017-04-19,2273.92,4598.01,2715.59,1241.77,4578.53,8078.73,3484.67,1669.51,5813.16
2017-04-20,2247.19,4785.01,2697.29,1266.05,4502.44,7820.46,3442.61,1649.08,5712.25
2017-04-21,2285.65,4763.13,2738.83,1257.64,4429.45,8060.21,3748.2,1689.54,5877.69
2017-04-22,2222.81,4829.64,2632.81,1231.01,4280.71,7562.71,3470.57,1705.2,5340.44
2017-04-23,2040.39,4423.46,2553.61,1226.8,4154.89,6126.88,3165.84,1667.43,3979.55
2017-04-24,2277.93,4913.51,2743.32,1280.76,4837.33,8085.7,3716.95,1736.05,5873.26
2017-04-25,2282.16,4724.77,2706.12,1272.12,5120.58,7948.61,3700.02,1715.94,5777.35
2017-04-26,2269.08,4837.81,2702.42,1231.0,5126.95,7955.61,3729.37,1678.35,5730.74
2017-04-27,2252.89,4695.33,2745.82,1268.9,5140.47,7805.77,3779.47,1677.79,5657.09
2017-04-28,2240.75,4625.77,2771.91,1214.78,5218.51,7902.54,3837.22,1675.87,5672.23
2017-04-29,2180.24,4599.28,2828.02,1216.09,5259.65,7329.51,3619.67,1633.15,5055.22
2017-04-30,2033.01,4005.41,2493.21,1202.88,4983.77,5737.28,3392.25,1510.74,3703.62
2017-05-01,2112.87,4123.8,2584.91,1249.79,5164.1,5841.12,3454.43,1499.89,4402.0
2017-05-02,2264.24,4693.71,2779.61,1226.53,5197.33,7457.65,4014.37,1544.98,5506.55
2017-05-03,2250.92,4734.99,2780.47,1258.23,5529.35,7749.66,4053.06,1628.8,5601.88
2017-05-04,2293.41,5059.85,2779.64,1228.53,5331.84,7733.64,4002.32,1650.11,5601.08
2017-05-05,2246.78,4744.59,2764.53,1211.26,5309.2,7683.23,3949.49,1681.39,5651.08
2017-05-06,2172.56,4502.57,2758.56,1227.12,5153.43,7451.55,3762.99,1621.91,5169.81
2017-05-07,2079.89,4151.16,2592.8,1272.04,5195.04,6091.26,3365.83,1670.02,3758.45
2017-05-08,2311.4,4852.97,2687.31,1228.14,5567.6,7703.11,3769.56,1613.59,5558.34
2017-05-09,2377.11,4755.19,2743.21,1224.47,5381.7,7766.4,4001.36,1607.02,5583.1
2017-05-10,2335.62,4933.6,2752.59,1192.79,5418.16,7602.5,3756.26,1647.3,5638.29
2017-05-11,2388.49,4781.91,2784.17,1170.93,5615.13,7903.8,3891.39,1693.14,5583.46
2017-05-12,2402.45,4845.75,2861.68,1153.49,5470.78,7929.25,3936.95,1694.2,5665.13
2017-05-13,2381.01,4981.8,2846.1,1154.55,5338.03,7333.15,3888.21,1625.56,5174.64
2017-05-14,2184.56,4517.29,2542.7,1139.67,5208.46,6028.57,3593.66,1455.15,3817.52
2017-05-15,2431.5,5179.27,2787.46,1304.22,5443.78,7692.02,4108.63,1630.21,5557.27
2017-05-16,2417.98,4913.04,2902.49,1300.64,5503.73,7660.03,4197.26,1633.99,5571.02
2017-05-17,2467.32,4856.85,2971.4,1220.25,5621.11,7847.5,4202.04,1643.87,5569.13
2017-05-18,2398.59,4927.33,2981.15,1177.12,5151.02,7831.82,4172.72,1713.03,5601.15
2017-05-19,2189.31,4270.02,2800.69,1140.98,4930.94,6739.77,3573.87,1605.56,4879.06
2017-05-20,2182.1,4359.47,2537.03,1222.48,4880.09,6635.68,3472.25,1681.44,4717.47
2017-05-21,2058.54,4175.02,2481.39,1287.04,5002.76,6120.07,3340.06,1657.03,3754.34
2017-05-22,2254.41,4934.9,2697.1,1272.18,5166.35,7668.91,3929.15,1691.29,5438.49
2017-05-23,2310.47,5108.86,2713.04,1347.7,4779.01,7793.88,3841.0,1727.44,5554.59
2017-05-24,2309.61,5069.62,2775.9,1321.63,4653.14,7543.87,3712.86,1691.89,5587.48
2017-05-25,2314.18,4977.95,2765.32,1301.11,4772.12,7702.61,3732.4,1710.46,5566.25
2017-05-26,2323.87,4937.23,2817.12,1327.61,4702.59,7763.02,3769.65,1692.95,5592.81
2017-05-27,2231.99,4680.18,2585.84,1231.84,4599.47,7151.76,3383.58,1605.25,4876.18
2017-05-28,2043.85,4305.26,2492.38,1261.02,4406.72,5895.36,3203.07,1577.28,3781.94
2017-05-29,2239.18,4763.65,2816.17,1174.32,4372.24,7546.3,3468.13,1619.9,5446.23
2017-05-30,2241.18,4719.84,2825.03,1155.24,4702.69,7566.97,3435.71,1638.61,5401.01
2017-05-31,2263.54,5022.47,2801.95,1142.21,4551.99,7508.9,3564.42,1543.1,5470.51
2017-06-01,2244.83,4805.65,2659.41,1207.81,4286.16,7529.92,3552.34,1813.43,5602.99
2017-06-02,2287.35,5148.63,2793.71,1167.48,4273.5,7765.92,3517.11,1735.04,5649.63
2017-06-03,2250.79,5010.57,2833.05,1172.49,4309.47,7224.04,3369.32,1678.28,5110.32
2017-06-04,2082.02,4236.52,2616.3,1128.82,4137.7,5829.11,3070.62,1700.99,3757.29
2017-06-05,2336.35,4972.19,2949.79,1125.93,4365.27,7727.72,3690.03,1686.33,5524.97
2017-06-06,2299.36,4928.8,2943.57,1070.99,4289.62,7664.61,3432.04,1718.69,5480.38
