datetime,data,type,unit,network,region
2001-12-02 02:00:00,5794.0,coal_brown,MW,nem,VIC1
2001-12-02 02:05:00,5773.0,coal_brown,MW,nem,VIC1
2001-12-02 02:10:00,5746.0,coal_brown,MW,nem,VIC1
2001-12-02 02:15:00,5710.0,coal_brown,MW,nem,VIC1
2001-12-02 02:20:00,5613.0,coal_brown,MW,nem,VIC1
2001-12-02 02:25:00,5562.0,coal_brown,MW,nem,VIC1
2001-12-02 02:30:00,5537.0,coal_brown,MW,nem,VIC1
2001-12-02 02:35:00,5509.0,coal_brown,MW,nem,VIC1
2001-12-02 02:40:00,5554.0,coal_brown,MW,nem,VIC1
2001-12-02 02:45:00,5522.0,coal_brown,MW,nem,VIC1
2001-12-02 02:50:00,5533.0,coal_brown,MW,nem,VIC1
2001-12-02 02:55:00,5533.0,coal_brown,MW,nem,VIC1
2001-12-02 03:00:00,5522.0,coal_brown,MW,nem,VIC1
2001-12-02 03:05:00,5527.0,coal_brown,MW,nem,VIC1
2001-12-02 03:10:00,5529.0,coal_brown,MW,nem,VIC1
2001-12-02 03:15:00,5512.0,coal_brown,MW,nem,VIC1
2001-12-02 03:20:00,5527.0,coal_brown,MW,nem,VIC1
2001-12-02 03:25:00,5483.0,coal_brown,MW,nem,VIC1
2001-12-02 03:30:00,5473.0,coal_brown,MW,nem,VIC1
2001-12-02 03:35:00,5482.0,coal_brown,MW,nem,VIC1
2001-12-02 03:40:00,5478.0,coal_brown,MW,nem,VIC1
2001-12-02 03:45:00,5484.0,coal_brown,MW,nem,VIC1
2001-12-02 03:50:00,5465.0,coal_brown,MW,nem,VIC1
2001-12-02 03:55:00,5446.0,coal_brown,MW,nem,VIC1
2001-12-02 04:00:00,5443.0,coal_brown,MW,nem,VIC1
2001-12-02 04:05:00,5444.0,coal_brown,MW,nem,VIC1
2001-12-02 04:10:00,5430.0,coal_brown,MW,nem,VIC1
2001-12-02 04:15:00,5405.0,coal_brown,MW,nem,VIC1
2001-12-02 04:20:00,5397.0,coal_brown,MW,nem,VIC1
2001-12-02 04:25:00,5395.0,coal_brown,MW,nem,VIC1
2001-12-02 04:30:00,5382.0,coal_brown,MW,nem,VIC1
2001-12-02 04:35:00,5441.0,coal_brown,MW,nem,VIC1
2001-12-02 04:40:00,5408.0,coal_brown,MW,nem,VIC1
2001-12-02 04:45:00,5304.0,coal_brown,MW,nem,VIC1
2001-12-02 04:50:00,5289.0,coal_brown,MW,nem,VIC1
2001-12-02 04:55:00,5292.0,coal_brown,MW,nem,VIC1
2001-12-02 05:00:00,5228.0,coal_brown,MW,nem,VIC1
2001-12-02 05:05:00,5273.0,coal_brown,MW,nem,VIC1
2001-12-02 05:10:00,5223.0,coal_brown,MW,nem,VIC1
2001-12-02 05:15:00,5211.0,coal_brown,MW,nem,VIC1
2001-12-02 05:20:00,5293.0,coal_brown,MW,nem,VIC1
2001-12-02 05:25:00,5289.0,coal_brown,MW,nem,VIC1
2001-12-02 05:30:00,5284.0,coal_brown,MW,nem,VIC1
2001-12-02 05:35:00,5294.0,coal_brown,MW,nem,VIC1
2001-12-02 05:40:00,5333.0,coal_brown,MW,nem,VIC1
2001-12-02 05:45:00,5338.0,coal_brown,MW,nem,VIC1
2001-12-02 05:50:00,5270.0,coal_brown,MW,nem,VIC1
2001-12-02 05:55:00,5323.0,coal_brown,MW,nem,VIC1
2001-12-02 06:00:00,5315.0,coal_brown,MW,nem,VIC1
2001-12-02 06:05:00,5366.0,coal_brown,MW,nem,VIC1
2001-12-02 06:10:00,5392.0,coal_brown,MW,nem,VIC1
2001-12-02 06:15:00,5362.0,coal_brown,MW,nem,VIC1
2001-12-02 06:20:00,5425.0,coal_brown,MW,nem,VIC1
2001-12-02 06:25:00,5423.0,coal_brown,MW,nem,VIC1
2001-12-02 06:30:00,5441.0,coal_brown,MW,nem,VIC1
2001-12-02 06:35:00,5481.0,coal_brown,MW,nem,VIC1
2001-12-02 06:40:00,5470.0,coal_brown,MW,nem,VIC1
2001-12-02 06:45:00,5514.0,coal_brown,MW,nem,VIC1
2001-12-02 06:50:00,5528.0,coal_brown,MW,nem,VIC1
2001-12-02 06:55:00,5529.0,coal_brown,MW,nem,VIC1
2001-12-02 07:00:00,5534.0,coal_brown,MW,nem,VIC1
2001-12-02 07:05:00,5530.0,coal_brown,MW,nem,VIC1
2001-12-02 07:10:00,5516.0,coal_brown,MW,nem,VIC1
2001-12-02 07:15:00,5512.0,coal_brown,MW,nem,VIC1
2001-12-02 07:20:00,5506.0,coal_brown,MW,nem,VIC1
2001-12-02 07:25:00,5526.0,coal_brown,MW,nem,VIC1
2001-12-02 07:30:00,5520.0,coal_brown,MW,nem,VIC1
2001-12-02 07:35:00,5569.0,coal_brown,MW,nem,VIC1
2001-12-02 07:40:00,5574.0,coal_brown,MW,nem,VIC1
