country/region,energy_source,iea,year,month,pm,date,region
Austria,gas,178.145,2021,8,54.96325,2021-08-01,Europe
Austria,hydro,4841.1414,2021,8,4314.532495,2021-08-01,Europe
Austria,nuclear,0.0,2021,8,0.0,2021-08-01,Europe
Austria,oil,61.3195,2021,8,0.0,2021-08-01,Europe
Austria,other,323.4651,2021,8,208.458,2021-08-01,Europe
Austria,solar,224.7657,2021,8,91.972,2021-08-01,Europe
Austria,wind,361.8214,2021,8,372.1,2021-08-01,Europe
Austria,coal,150.4401,2021,9,0.0,2021-09-01,Europe
Austria,gas,306.8094,2021,9,187.042,2021-09-01,Europe
Austria,hydro,3275.3384,2021,9,2908.782381,2021-09-01,Europe
Austria,nuclear,0.0,2021,9,0.0,2021-09-01,Europe
Austria,oil,61.9501,2021,9,0.0,2021-09-01,Europe
Austria,other,316.05280000000005,2021,9,197.635,2021-09-01,Europe
Austria,solar,179.8125,2021,9,82.243,2021-09-01,Europe
Austria,wind,330.76,2021,9,337.71500000000003,2021-09-01,Europe
Austria,coal,171.6298,2021,10,0.0,2021-10-01,Europe
Austria,gas,976.534,2021,10,932.4305,2021-10-01,Europe
Austria,hydro,2570.5489,2021,10,2139.449249,2021-10-01,Europe
Austria,nuclear,0.0,2021,10,0.0,2021-10-01,Europe
Austria,oil,59.796,2021,10,0.0,2021-10-01,Europe
Austria,other,359.17310000000003,2021,10,209.769,2021-10-01,Europe
Austria,solar,136.8139,2021,10,56.009,2021-10-01,Europe
Austria,wind,640.6374,2021,10,673.023,2021-10-01,Europe
Austria,coal,171.416,2021,11,0.0,2021-11-01,Europe
Austria,gas,1695.6621,2021,11,1558.30075,2021-11-01,Europe
Austria,hydro,2432.447,2021,11,1815.4911260000001,2021-11-01,Europe
Austria,nuclear,0.0,2021,11,0.0,2021-11-01,Europe
Austria,oil,76.154,2021,11,0.0,2021-11-01,Europe
Austria,other,364.5585,2021,11,199.594,2021-11-01,Europe
Austria,solar,72.3159,2021,11,25.192,2021-11-01,Europe
Austria,wind,589.295,2021,11,619.293332,2021-11-01,Europe
Austria,coal,170.6981,2021,12,0.0,2021-12-01,Europe
Austria,gas,1608.561,2021,12,1572.68075,2021-12-01,Europe
Austria,hydro,2639.5938,2021,12,2084.195126,2021-12-01,Europe
Austria,nuclear,0.0,2021,12,0.0,2021-12-01,Europe
Austria,oil,76.3379,2021,12,0.0,2021-12-01,Europe
Austria,other,380.5065,2021,12,196.839,2021-12-01,Europe
Austria,solar,56.68,2021,12,21.3,2021-12-01,Europe
Austria,wind,714.3017,2021,12,721.839167,2021-12-01,Europe
