country/region,year,energy_source,pm,iea,region
Germany,2018,nuclear,71841.10675,71865.9999,Europe
Germany,2018,oil,2795.4625,4816.0749,Europe
Germany,2018,other,49695.594779,47396.1559,Europe
Germany,2018,solar,41234.283,45784.0001,Europe
Germany,2018,wind,106891.812252,107889.0,Europe
Germany,2019,coal,153472.015879,169042.9643,Europe
Germany,2019,gas,54597.2445,84381.5482,Europe
Germany,2019,hydro,32665.464376,25507.0,Europe
Germany,2019,nuclear,71042.423,70992.0001,Europe
Germany,2019,oil,3965.709377,4440.6939,Europe
Germany,2019,other,50539.839749,46751.7579,Europe
Germany,2019,solar,41914.77025,43512.9999,Europe
Germany,2019,wind,120963.708626,123544.9999,Europe
Germany,2020,coal,121210.277132,133521.695,Europe
Germany,2020,gas,58867.030249,88685.3161,Europe
Germany,2020,hydro,33533.314882,24713.9999,Europe
Germany,2020,nuclear,60923.87875,60913.9999,Europe
Germany,2020,oil,3883.828376,4552.4795,Europe
Germany,2020,other,50218.886001,47549.7131,Europe
Germany,2020,solar,45821.578,47686.9999,Europe
Germany,2020,wind,126464.075002,129644.00009999999,Europe
Germany,2021,coal,152667.392285,164939.7737,Europe
Germany,2021,gas,52386.976496999996,84869.7691,Europe
Germany,2021,hydro,31190.552003,24072.259000000002,Europe
Germany,2021,nuclear,65407.2335,65441.2952,Europe
Germany,2021,oil,3191.954003,4767.0387,Europe
Germany,2021,other,50840.287,48492.4543,Europe
Germany,2021,solar,46606.88475,48724.832,Europe
Germany,2021,wind,111217.24086800001,113624.1148,Europe
Greece,2018,coal,15214.264500000001,16050.2518,Europe
Greece,2018,gas,15240.291000000001,13150.2556,Europe
Greece,2018,hydro,0.0,5748.9869,Europe
Greece,2018,nuclear,0.0,0.0,Europe
Greece,2018,oil,0.0,5180.2163,Europe
Greece,2018,other,0.0,293.3289,Europe
Greece,2018,solar,3419.488,3790.6522,Europe
Greece,2018,wind,4854.879,6300.2591,Europe
Greece,2019,coal,10680.349,11006.476200000001,Europe
Greece,2019,gas,17302.821,13160.0749,Europe
Greece,2019,hydro,0.0,4044.37,Europe
