unit,date,year,month,month_date,weekday,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2019-07-04,2019,7,07-04,Thursday,0.0,57.744,0.0,99.458,3.2925,5.3115,22.212,24.993,57.744,155.267,213.011,0.0,0.27108459187553696,0.0,0.4669148541624611,0.015456948232720376,0.024935331978160752,0.10427630497955505,0.11733196877156578,0.27108459187553696,0.7289154081244631
Gwh,2019-07-05,2019,7,07-05,Friday,0.0,72.526,0.0,107.452,4.6478,3.0845,19.114,25.426,72.526,159.7243,232.25029999999998,0.0,0.31227516175436587,0.0,0.46265602240341563,0.020012030124395966,0.013280930099982649,0.08229914019486735,0.10947671542297255,0.31227516175436587,0.6877248382456341
Gwh,2019-07-06,2019,7,07-06,Saturday,0.0,45.411,0.0,114.114,4.2672,5.79,17.522,24.355,45.411,166.0482,211.4592,0.0,0.21475064693330911,0.0,0.5396502020247878,0.020179779361692466,0.027381168565851,0.0828623204854648,0.11517588262889483,0.21475064693330911,0.7852493530666909
Gwh,2019-07-07,2019,7,07-07,Sunday,0.0,43.363,0.0,115.192,2.9275,5.162,16.485,21.314,43.363,161.0805,204.4435,0.0,0.21210261025662347,0.0,0.5634417332906158,0.014319359627476541,0.02524902968301756,0.08063352466573895,0.10425374247652774,0.21210261025662347,0.7878973897433765
Gwh,2019-07-08,2019,7,07-08,Monday,0.0,60.531,0.0,115.618,2.724,9.419,15.605,24.226,60.531,167.592,228.123,0.0,0.26534369616391157,0.0,0.5068230735173569,0.011940926605383938,0.041289129110173024,0.06840607917658456,0.10619709542659005,0.26534369616391157,0.7346563038360885
Gwh,2019-07-09,2019,7,07-09,Tuesday,0.0,62.363,0.0,115.731,3.8185,3.6365,18.199,24.792,62.363,166.177,228.54,0.0,0.2728756454012427,0.0,0.5063927540036754,0.016708234882296315,0.015911875382865145,0.07963157434147196,0.10847991598844842,0.2728756454012427,0.7271243545987573
Gwh,2019-07-10,2019,7,07-10,Wednesday,0.0,62.972,0.0,115.519,2.2815,6.123,14.397,24.566,62.972,162.8865,225.8585,0.0,0.27881173389533714,0.0,0.5114662498865441,0.010101457328371524,0.027109894026569735,0.06374344999191972,0.10876721487125789,0.27881173389533714,0.7211882661046629
Gwh,2019-07-11,2019,7,07-11,Thursday,0.0,68.99,0.0,114.804,5.6645,8.0555,13.704,25.737,68.99,167.965,236.955,0.0,0.29115232850119216,0.0,0.4844970564031145,0.023905382878605642,0.03399590639572914,0.057833765904918656,0.10861555991643981,0.29115232850119216,0.7088476714988078
Gwh,2019-07-12,2019,7,07-12,Friday,0.0,74.051,0.0,114.931,3.679125,9.735,13.863,24.819,74.051,167.027125,241.078125,0.0,0.3071659861300149,0.0,0.4767375721044786,0.015261131635232355,0.04038110052498541,0.057504180439432236,0.1029500291658565,0.3071659861300149,0.6928340138699851
Gwh,2019-07-13,2019,7,07-13,Saturday,0.0,47.766,0.0,114.976,2.406875,15.425,11.439,23.786,47.766,168.032875,215.798875,0.0,0.2213449907929316,0.0,0.5327923975507286,0.011153325057880862,0.07147859320397291,0.05300769061006458,0.11022300278442138,0.2213449907929316,0.7786550092070683
Gwh,2019-07-14,2019,7,07-14,Sunday,0.0,46.807,0.0,115.332,4.3955,15.944,9.65,23.321,46.807,168.6425,215.4495,0.0,0.21725276688968878,0.0,0.5353087382426044,0.02040153260972989,0.07400342075521178,0.04479007841744818,0.10824346308531699,0.21725276688968878,0.7827472331103112
Gwh,2019-07-15,2019,7,07-15,Monday,0.0,68.577,0.0,115.726,2.9785,6.851,8.136,24.807,68.577,158.4985,227.0755,0.0,0.30200087636050565,0.0,0.5096366626958875,0.0131167827440653,0.030170582031086576,0.03582949283388124,0.10924560333457374,0.30200087636050565,0.6979991236394943
Gwh,2019-07-16,2019,7,07-16,Tuesday,0.0,68.673,0.0,115.443,5.0815,1.68526,12.718,25.375,68.673,160.30276,228.97576,0.0,0.2999138424084715,0.0,0.5041712712297581,0.022192305421324946,0.007359993040311341,0.05554299721507639,0.11081959068505766,0.2999138424084715,0.7000861575915285
Gwh,2019-07-17,2019,7,07-17,Wednesday,0.0,79.417,0.0,115.427,2.6535,2.08424,19.343,26.207,79.417,165.71473999999998,245.13173999999998,0.0,0.3239768134473325,0.0,0.4708774147321763,0.010824791599814861,0.008502530108912049,0.07890859013198373,0.10690985997978068,0.3239768134473325,0.6760231865526676
