GWh,CHILE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-05-01,4617.621429,2343.3262079999995,384.277139,1500.237734,389.780348,0,0,1106.401354,334.581716,449.694717,25.533865,0,0,2305.9919999999997,4227.841081,6533.833080999999,0,0,6533.833080999999,0,375.422598,6158.410482999999,2020,5
,2020-06-01,4669.408526,2320.416979,444.747784,1535.633125,368.610638,0,0,1208.74856,468.198382,374.44206,21.77154,0,0,2441.77118,4300.797888,6742.569068000001,0,0,6742.569068000001,0,387.983903,6354.585165,2020,6
,2020-07-01,3805.038791,1893.569287,281.665319,1291.245036,338.559149,0,0,1822.307074,425.333583,454.450451,11.933344,0,0,3052.5836010000003,3466.4796420000002,6519.0632430000005,0,0,6519.0632430000005,0,378.778285,6140.284958,2020,7
,2020-08-01,3618.983426,1761.4502579999996,203.716742,1360.453085,293.363341,0,0,1674.847065,597.379235,555.88087,16.187001,0,0,3137.6575119999998,3325.6200849999996,6463.277596999999,0,0,6463.277596999999,0,377.216331,6086.061266,2020,8
,2020-09-01,3490.800571,1972.500946,160.8852,1030.811568,326.602857,0,0,1726.708821,488.675046,661.137658,18.496923,0,0,3221.621305,3164.1977140000004,6385.8190190000005,0,0,6385.8190190000005,0,372.85259,6012.966429,2020,9
,2020-10-01,2748.173139,1753.619772,135.63069,535.958806,322.963871,0,0,2226.202277,646.642283,785.041645,18.406989,0,0,3999.257065,2425.209268,6424.466333,0,0,6424.466333,0,377.113801,6047.352532,2020,10
,2020-11-01,2599.54936,1822.770725,129.787537,307.713352,339.277746,0,0,2524.195079,541.835168,848.696337,20.897543,0,0,4274.901873,2260.271614,6535.173487,0,0,6535.173487,0,384.364786,6150.808701,2020,11
,2020-12-01,3100.906482,1946.648395,187.012738,614.540085,352.705264,0,0,2271.375597,531.359669,909.242548,26.344722,0,0,4091.0278000000003,2748.201218,6839.229018,0,0,6839.229018,0,401.340009,6437.889009,2020,12
,2021-01-01,3551.33084,2150.6379349999997,294.900487,752.512594,353.279824,0,0,1821.003834,527.757519,893.665055,19.935057,0,0,3615.641289,3198.0510159999994,6813.692305,0,0,6813.692305,0,397.224729,6416.467575999999,2021,1
,2021-02-01,3932.306443,1982.049586,547.168588,1064.037058,339.051211,0,0,1295.355466,436.206391,806.275986,21.688361,0,0,2898.577415,3593.255232,6491.832647,0,0,6491.832647,0,373.078848,6118.753799,2021,2
,2021-03-01,4617.119061,2278.2381980000005,578.440507,1333.657192,426.783164,0,0,1188.546429,471.876779,810.501068,28.570903,0,0,2926.278343,4190.335897,7116.61424,0,0,7116.61424,0,407.859883,6708.754357,2021,3
,2021-04-01,4743.560314,2210.0284640000004,431.325183,1660.981593,441.225074,0,0,917.77011,461.36497,726.231544,27.58783,0,0,2574.179528,4302.33524,6876.514768000001,0,0,6876.514768000001,0,393.72846,6482.786308000001,2021,4
,2021-05-01,4701.502244,2398.3391030000003,291.944972,1552.982973,458.235196,0,0,1148.982226,482.482595,604.766839,28.001089,0,0,2722.467945,4243.267048000001,6965.734993,0,0,6965.734993,0,401.416459,6564.318534,2021,5
