GWh,DENMARK,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-02-01,1411.326,486.39300000000003,18.069,246.418,597.684,62.762,0,1.712,1343.338,38.243,0,0,0,1980.9769999999999,813.642,2794.6189999999997,961.881,933.058,2823.4419999999996,0,124.981,2698.4609999999993,2019,2
,2019-03-01,1298.864,422.9960000000001,18.841,207.358,589.063,60.606,0,2.242,1874.613,73.214,0,0,0,2539.132,709.8010000000002,3248.933,1154.725,1394.261,3009.3969999999995,0,159.048,2850.3489999999993,2019,3
,2019-04-01,957.714,312.00800000000004,16.826,130.176,433.753,64.951,0,1.285,1000.081,141.923,0,0,0,1577.0420000000001,523.961,2101.003,1370.12,786.972,2684.151,0,122.411,2561.74,2019,4
,2019-05-01,691.881,169.014,16.48,109.779,333.18,63.428,0,0.954,1479.983,136.491,0,0,0,1950.608,358.701,2309.309,1200.773,733.548,2776.5340000000006,0,129.352,2647.1820000000007,2019,5
,2019-06-01,354.039,23.29200000000003,12.738,70.185,195.698,52.126,0,0.745,979.015,147.579,0,0,0,1323.037,158.34100000000004,1481.3780000000002,1811.898,676.046,2617.2299999999996,0,121.691,2495.5389999999998,2019,6
,2019-07-01,420.659,0,15.21,68.288,284.029,53.132,0,0.572,1110.409,140.179,0,0,0,1535.1890000000003,136.63,1671.8190000000004,1615.789,656.893,2630.715,0,122.767,2507.9480000000003,2019,7
,2019-08-01,424.358,12.682999999999936,15.583,77.789,265.494,52.809,0,0.811,944.75,119.012,0,0,0,1330.067,158.86399999999992,1488.931,1644.89,370.354,2763.467,0,115.97,2647.4970000000003,2019,8
,2019-09-01,478.266,62.591999999999985,7.107,87.293,268.311,52.963,0,1.136,1508.605,79.495,0,0,0,1857.547,209.95499999999998,2067.502,1343.792,618.956,2792.3379999999997,0,135.737,2656.6009999999997,2019,9
,2019-10-01,951.771,187.04500000000007,24.9,178.595,494.988,66.243,0,1.855,1260.081,45.69,0,0,0,1802.614,456.7830000000001,2259.397,1214.081,608.505,2864.973,0,134.488,2730.485,2019,10
,2019-11-01,1292.505,313.9000000000001,26.584,233.525,652.392,66.104,0,2.079,1254.256,13.827,0,0,0,1922.554,640.1130000000002,2562.6670000000004,1125.975,684.719,3003.9230000000002,0,127.966,2875.9570000000003,2019,11
