unit,datetime,date,year,month,month_date,weekday,hour,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2021-11-10 20:00:00,2021-11-10,2021,11,11-10,Wednesday,20,0.0,0.0,4652.0,4931.0,265.66700000000003,162.0,0.0,1377.0,4652.0,6735.667,11387.667000000001,0.0,0.0,0.4085121210516605,0.43301231059882583,0.02332936149256911,0.014225916511257309,0.0,0.12092029034568712,0.4085121210516605,0.5914878789483394
Mwh,2021-11-10 21:00:00,2021-11-10,2021,11,11-10,Wednesday,21,0.0,0.0,4728.0,4931.0,178.833,112.0,0.0,1346.0,4728.0,6567.833,11295.832999999999,0.0,0.0,0.41856142880299313,0.43653265766234334,0.01583176734287768,0.009915160749986301,0.0,0.11915898544179966,0.41856142880299313,0.5814385711970069
Mwh,2021-11-10 22:00:00,2021-11-10,2021,11,11-10,Wednesday,22,0.0,0.0,4626.0,4932.0,119.0,95.0,0.0,1328.0,4626.0,6474.0,11100.0,0.0,0.0,0.4167567567567568,0.44432432432432434,0.01072072072072072,0.008558558558558558,0.0,0.11963963963963964,0.4167567567567568,0.5832432432432433
Mwh,2021-11-10 23:00:00,2021-11-10,2021,11,11-10,Wednesday,23,0.0,0.0,4677.0,4931.0,96.0,73.0,0.0,1324.0,4677.0,6424.0,11101.0,0.0,0.0,0.4213133951896226,0.44419421673723086,0.008647869561300784,0.006575984145572471,0.0,0.11926853436627331,0.4213133951896226,0.5786866048103775
Mwh,2021-11-11 00:00:00,2021-11-11,2021,11,11-11,Thursday,0,0.0,0.0,4453.0,4931.0,92.88900000000001,79.0,0.0,1289.0,4453.0,6391.889,10844.889,0.0,0.0,0.4106081675893594,0.4546842295942356,0.00856523289449989,0.007284537444320546,0.0,0.11885783247758461,0.4106081675893594,0.5893918324106406
Mwh,2021-11-11 01:00:00,2021-11-11,2021,11,11-11,Thursday,1,0.0,0.0,3520.0,4929.0,219.778,151.0,0.0,1160.0,3520.0,6459.778,9979.778,0.0,0.0,0.35271325674779536,0.49389876207667144,0.022022333562930957,0.015130597093442359,0.0,0.11623505051915985,0.35271325674779536,0.6472867432522046
Mwh,2021-11-11 02:00:00,2021-11-11,2021,11,11-11,Thursday,2,0.0,0.0,3514.0,4929.0,209.834,160.0,0.0,1244.0,3514.0,6542.834,10056.833999999999,0.0,0.0,0.34941413967855095,0.49011448334535507,0.02086481689963263,0.015909579495893042,0.0,0.12369698058056841,0.34941413967855095,0.6505858603214492
Mwh,2021-11-11 03:00:00,2021-11-11,2021,11,11-11,Thursday,3,0.0,0.0,3336.0,4930.0,201.889,138.0,0.0,1209.0,3336.0,6478.889,9814.889,0.0,0.0,0.33989177055390035,0.5022980901770769,0.020569667165874217,0.014060271084064222,0.0,0.12318020101908438,0.33989177055390035,0.6601082294460998
Mwh,2021-11-11 04:00:00,2021-11-11,2021,11,11-11,Thursday,4,0.0,0.0,3438.0,4930.0,191.94400000000002,148.0,0.0,1201.0,3438.0,6470.944,9908.944,0.0,0.0,0.34695927235031304,0.4975303120090294,0.019370782598024574,0.014936001253009402,0.0,0.12120363178962361,0.34695927235031304,0.653040727649687
Mwh,2021-11-11 05:00:00,2021-11-11,2021,11,11-11,Thursday,5,0.0,0.0,3465.0,4929.0,182.0,132.0,0.0,1203.0,3465.0,6446.0,9911.0,0.0,0.0,0.34961154273029965,0.49732620320855614,0.018363434567652104,0.013318534961154272,0.0,0.1213802845323378,0.34961154273029965,0.6503884572697003
Mwh,2021-11-11 06:00:00,2021-11-11,2021,11,11-11,Thursday,6,0.0,0.0,3604.0,4931.0,172.055,86.0,0.0,1174.0,3604.0,6363.055,9967.055,0.0,0.0,0.361591262414023,0.4947298876147468,0.017262370880867017,0.008628426350612091,0.0,0.11778805273975111,0.361591262414023,0.638408737585977
Mwh,2021-11-11 07:00:00,2021-11-11,2021,11,11-11,Thursday,7,0.0,0.0,4199.0,4933.0,163.111,103.0,0.0,1195.0,4199.0,6394.111,10593.111,0.0,0.0,0.39638969137583846,0.4656800065627557,0.015397837330317786,0.009723300360016996,0.0,0.11280916437107097,0.39638969137583846,0.6036103086241614
Mwh,2021-11-11 08:00:00,2021-11-11,2021,11,11-11,Thursday,8,0.0,0.0,4555.0,4932.0,102.0,86.0,0.0,1226.0,4555.0,6346.0,10901.0,0.0,0.0,0.41785157325016054,0.45243555637097516,0.009356939730299973,0.007889184478488211,0.0,0.11246674617007614,0.41785157325016054,0.5821484267498395
